#k-distance eigenvalue[eV]
2.24711172 -49.56470000
2.27146818 -49.56470000
2.29582464 -49.56470000
2.32018111 -49.56480000
2.34453757 -49.56480000
2.36889403 -49.56480000
2.39325050 -49.56480000
2.41760696 -49.56490000
2.44196342 -49.56490000
2.46631989 -49.56500000
2.49067635 -49.56500000
2.51503281 -49.56500000
2.53938927 -49.56510000
2.56374573 -49.56510000
2.56374573 -49.56510000
2.59059917 -49.56520000
2.61745261 -49.56520000
2.64430605 -49.56520000
2.67115948 -49.56520000
2.69801292 -49.56520000
2.72486636 -49.56520000
2.75171979 -49.56510000
2.77857323 -49.56510000
2.80542667 -49.56520000
2.83228010 -49.56510000
2.85913355 -49.56510000
2.88598698 -49.56510000
2.91284042 -49.56520000
2.93969386 -49.56520000
2.96654729 -49.56520000
2.96654729 -49.56520000
2.99090375 -49.56510000
3.01526022 -49.56510000
3.03961668 -49.56500000
3.06397314 -49.56500000
3.08832961 -49.56490000
3.11268607 -49.56490000
3.13704253 -49.56490000
3.16139900 -49.56480000
3.18575546 -49.56480000
3.21011192 -49.56480000
3.23446839 -49.56480000
3.25882485 -49.56470000
3.28318131 -49.56480000
3.30753777 -49.56470000
3.33189424 -49.56480000
3.33189424 -49.56510000
3.34918092 -49.56510000
3.36646760 -49.56510000
3.38375428 -49.56510000
3.40104096 -49.56510000
3.41832765 -49.56510000
3.43561433 -49.56510000
3.45290101 -49.56510000
3.47018769 -49.56510000
3.48747437 -49.56510000
3.50476105 -49.56510000
3.52204774 -49.56510000
3.53933442 -49.56510000
3.55662110 -49.56520000
3.57390779 -49.56520000
3.59119447 -49.56520000
3.59119447 -49.56470000
3.60848115 -49.56470000
3.62576783 -49.56470000
3.64305451 -49.56470000
3.66034119 -49.56470000
3.67762788 -49.56470000
3.69491456 -49.56470000
3.71220124 -49.56470000
3.72948793 -49.56470000
3.74677461 -49.56470000
3.76406129 -49.56470000
3.78134797 -49.56470000
3.79863465 -49.56470000
3.81592133 -49.56470000
3.83320802 -49.56470000
3.85049470 -49.56470000
3.85049470 -49.56520000
3.86778138 -49.56510000
3.88506806 -49.56520000
3.90235474 -49.56520000
3.91964143 -49.56510000
3.93692811 -49.56510000
3.95421479 -49.56510000
3.97150147 -49.56510000
3.98878816 -49.56510000
4.00607484 -49.56510000
4.02336152 -49.56510000
4.04064820 -49.56510000
4.05793488 -49.56510000
4.07522156 -49.56510000
4.09250825 -49.56510000
4.10979493 -49.56510000

0.00000000 -49.56470000
0.02685343 -49.56470000
0.05370688 -49.56470000
0.08056031 -49.56470000
0.10741375 -49.56470000
0.13426719 -49.56470000
0.16112062 -49.56470000
0.18797406 -49.56470000
0.21482750 -49.56470000
0.24168093 -49.56470000
0.26853437 -49.56470000
0.29538781 -49.56470000
0.32224125 -49.56470000
0.34909468 -49.56470000
0.37594812 -49.56470000
0.40280156 -49.56470000
0.40280156 -49.56470000
0.42715802 -49.56470000
0.45151449 -49.56470000
0.47587095 -49.56470000
0.50022741 -49.56480000
0.52458387 -49.56480000
0.54894034 -49.56480000
0.57329680 -49.56480000
0.59765326 -49.56480000
0.62200972 -49.56480000
0.64636618 -49.56490000
0.67072265 -49.56500000
0.69507911 -49.56500000
0.71943557 -49.56510000
0.74379204 -49.56510000
0.76814850 -49.56520000
0.76814850 -49.56520000
0.79500194 -49.56510000
0.82185538 -49.56510000
0.84870881 -49.56510000
0.87556225 -49.56510000
0.90241569 -49.56510000
0.92926912 -49.56510000
0.95612256 -49.56510000
0.98297600 -49.56510000
1.00982944 -49.56510000
1.03668287 -49.56510000
1.06353631 -49.56510000
1.09038975 -49.56510000
1.11724318 -49.56510000
1.14409662 -49.56510000
1.17095006 -49.56510000
1.17095006 -49.56510000
1.19530652 -49.56510000
1.21966299 -49.56500000
1.24401945 -49.56490000
1.26837591 -49.56490000
1.29273238 -49.56490000
1.31708884 -49.56490000
1.34144530 -49.56480000
1.36580176 -49.56480000
1.39015822 -49.56480000
1.41451469 -49.56480000
1.43887115 -49.56480000
1.46322761 -49.56470000
1.48758407 -49.56470000
1.51194054 -49.56470000
1.53629700 -49.56470000
1.53629700 -49.56470000
1.55358368 -49.56470000
1.57087037 -49.56470000
1.58815705 -49.56470000
1.60544373 -49.56470000
1.62273041 -49.56470000
1.64001709 -49.56470000
1.65730377 -49.56470000
1.67459046 -49.56470000
1.69187714 -49.56470000
1.70916382 -49.56470000
1.72645051 -49.56470000
1.74373719 -49.56470000
1.76102387 -49.56470000
1.77831055 -49.56470000
1.79559723 -49.56480000
1.79559723 -49.56480000
1.82245067 -49.56470000
1.84930411 -49.56480000
1.87615755 -49.56480000
1.90301098 -49.56480000
1.92986442 -49.56480000
1.95671786 -49.56480000
1.98357129 -49.56480000
2.01042473 -49.56470000
2.03727817 -49.56470000
2.06413160 -49.56470000
2.09098505 -49.56470000
2.11783848 -49.56470000
2.14469191 -49.56470000
2.17154536 -49.56470000
2.19839879 -49.56470000
2.19839879 -49.56470000
2.22275525 -49.56470000
2.24711172 -49.56470000
2.27146818 -49.56470000
2.29582464 -49.56470000
2.32018111 -49.56480000
2.34453757 -49.56480000
2.36889403 -49.56480000
2.39325050 -49.56480000
2.41760696 -49.56490000
2.44196342 -49.56490000
2.46631989 -49.56500000
2.49067635 -49.56500000
2.51503281 -49.56500000
2.53938927 -49.56510000
2.56374573 -49.56510000
2.56374573 -49.56510000
2.59059917 -49.56520000
2.61745261 -49.56520000
2.64430605 -49.56520000
2.67115948 -49.56520000
2.69801292 -49.56520000
2.72486636 -49.56520000
2.75171979 -49.56510000
2.77857323 -49.56510000
2.80542667 -49.56520000
2.83228010 -49.56510000
2.85913355 -49.56510000
2.88598698 -49.56510000
2.91284042 -49.56520000
2.93969386 -49.56520000
2.96654729 -49.56520000
2.96654729 -49.56520000
2.99090375 -49.56510000
3.01526022 -49.56510000
3.03961668 -49.56500000
3.06397314 -49.56500000
3.08832961 -49.56490000
3.11268607 -49.56490000
3.13704253 -49.56490000
3.16139900 -49.56480000
3.18575546 -49.56480000
3.21011192 -49.56480000
3.23446839 -49.56480000
3.25882485 -49.56470000
3.28318131 -49.56480000
3.30753777 -49.56470000
3.33189424 -49.56480000
3.33189424 -49.56510000
3.34918092 -49.56510000
3.36646760 -49.56510000
3.38375428 -49.56510000
3.40104096 -49.56510000
3.41832765 -49.56510000
3.43561433 -49.56510000
3.45290101 -49.56510000
3.47018769 -49.56510000
3.48747437 -49.56510000
3.50476105 -49.56510000
3.52204774 -49.56510000
3.53933442 -49.56510000
3.55662110 -49.56520000
3.57390779 -49.56520000
3.59119447 -49.56520000
3.59119447 -49.56470000
3.60848115 -49.56470000
3.62576783 -49.56470000
3.64305451 -49.56470000
3.66034119 -49.56470000
3.67762788 -49.56470000
3.69491456 -49.56470000
3.71220124 -49.56470000
3.72948793 -49.56470000
3.74677461 -49.56470000
3.76406129 -49.56470000
3.78134797 -49.56470000
3.79863465 -49.56470000
3.81592133 -49.56470000
3.83320802 -49.56470000
3.85049470 -49.56470000
3.85049470 -49.56520000
3.86778138 -49.56510000
3.88506806 -49.56520000
3.90235474 -49.56520000
3.91964143 -49.56510000
3.93692811 -49.56510000
3.95421479 -49.56510000
3.97150147 -49.56510000
3.98878816 -49.56510000
4.00607484 -49.56510000
4.02336152 -49.56510000
4.04064820 -49.56510000
4.05793488 -49.56510000
4.07522156 -49.56510000
4.09250825 -49.56510000
4.10979493 -49.56510000

0.00000000 -32.64370000
0.02685343 -32.64370000
0.05370688 -32.64360000
0.08056031 -32.64340000
0.10741375 -32.64320000
0.13426719 -32.64280000
0.16112062 -32.64250000
0.18797406 -32.64200000
0.21482750 -32.64150000
0.24168093 -32.64090000
0.26853437 -32.64030000
0.29538781 -32.63970000
0.32224125 -32.63900000
0.34909468 -32.63830000
0.37594812 -32.63760000
0.40280156 -32.63680000
0.40280156 -32.63680000
0.42715802 -32.63680000
0.45151449 -32.63670000
0.47587095 -32.63650000
0.50022741 -32.63620000
0.52458387 -32.63580000
0.54894034 -32.63540000
0.57329680 -32.63490000
0.59765326 -32.63430000
0.62200972 -32.63370000
0.64636618 -32.63300000
0.67072265 -32.63230000
0.69507911 -32.63160000
0.71943557 -32.63080000
0.74379204 -32.63000000
0.76814850 -32.62920000
0.76814850 -32.62920000
0.79500194 -32.62990000
0.82185538 -32.63060000
0.84870881 -32.63120000
0.87556225 -32.63190000
0.90241569 -32.63250000
0.92926912 -32.63310000
0.95612256 -32.63360000
0.98297600 -32.63410000
1.00982944 -32.63460000
1.03668287 -32.63500000
1.06353631 -32.63530000
1.09038975 -32.63550000
1.11724318 -32.63570000
1.14409662 -32.63580000
1.17095006 -32.63590000
1.17095006 -32.63590000
1.19530652 -32.63670000
1.21966299 -32.63750000
1.24401945 -32.63830000
1.26837591 -32.63910000
1.29273238 -32.63980000
1.31708884 -32.64050000
1.34144530 -32.64120000
1.36580176 -32.64170000
1.39015822 -32.64220000
1.41451469 -32.64270000
1.43887115 -32.64310000
1.46322761 -32.64340000
1.48758407 -32.64360000
1.51194054 -32.64370000
1.53629700 -32.64370000
1.53629700 -32.64370000
1.55358368 -32.64370000
1.57087037 -32.64370000
1.58815705 -32.64360000
1.60544373 -32.64350000
1.62273041 -32.64340000
1.64001709 -32.64330000
1.65730377 -32.64310000
1.67459046 -32.64290000
1.69187714 -32.64260000
1.70916382 -32.64240000
1.72645051 -32.64210000
1.74373719 -32.64180000
1.76102387 -32.64150000
1.77831055 -32.64120000
1.79559723 -32.64080000
1.79559723 -32.64080000
1.82245067 -32.64080000
1.84930411 -32.64070000
1.87615755 -32.64050000
1.90301098 -32.64030000
1.92986442 -32.64000000
1.95671786 -32.63970000
1.98357129 -32.63930000
2.01042473 -32.63900000
2.03727817 -32.63850000
2.06413160 -32.63810000
2.09098505 -32.63770000
2.11783848 -32.63740000
2.14469191 -32.63710000
2.17154536 -32.63690000
2.19839879 -32.63690000
2.19839879 -32.63690000
2.22275525 -32.63680000
2.24711172 -32.63670000
2.27146818 -32.63650000
2.29582464 -32.63620000
2.32018111 -32.63590000
2.34453757 -32.63540000
2.36889403 -32.63490000
2.39325050 -32.63440000
2.41760696 -32.63370000
2.44196342 -32.63310000
2.46631989 -32.63230000
2.49067635 -32.63160000
2.51503281 -32.63080000
2.53938927 -32.63000000
2.56374573 -32.62920000
2.56374573 -32.62920000
2.59059917 -32.62930000
2.61745261 -32.62940000
2.64430605 -32.62970000
2.67115948 -32.63000000
2.69801292 -32.63040000
2.72486636 -32.63080000
2.75171979 -32.63120000
2.77857323 -32.63160000
2.80542667 -32.63190000
2.83228010 -32.63220000
2.85913355 -32.63250000
2.88598698 -32.63270000
2.91284042 -32.63290000
2.93969386 -32.63300000
2.96654729 -32.63300000
2.96654729 -32.63300000
2.99090375 -32.63380000
3.01526022 -32.63460000
3.03961668 -32.63540000
3.06397314 -32.63620000
3.08832961 -32.63690000
3.11268607 -32.63760000
3.13704253 -32.63820000
3.16139900 -32.63880000
3.18575546 -32.63930000
3.21011192 -32.63970000
3.23446839 -32.64010000
3.25882485 -32.64040000
3.28318131 -32.64060000
3.30753777 -32.64080000
3.33189424 -32.64080000
3.33189424 -32.63590000
3.34918092 -32.63590000
3.36646760 -32.63580000
3.38375428 -32.63570000
3.40104096 -32.63560000
3.41832765 -32.63550000
3.43561433 -32.63540000
3.45290101 -32.63520000
3.47018769 -32.63500000
3.48747437 -32.63480000
3.50476105 -32.63450000
3.52204774 -32.63430000
3.53933442 -32.63400000
3.55662110 -32.63370000
3.57390779 -32.63330000
3.59119447 -32.63300000
3.59119447 -32.63690000
3.60848115 -32.63690000
3.62576783 -32.63690000
3.64305451 -32.63690000
3.66034119 -32.63690000
3.67762788 -32.63690000
3.69491456 -32.63680000
3.71220124 -32.63690000
3.72948793 -32.63690000
3.74677461 -32.63680000
3.76406129 -32.63690000
3.78134797 -32.63690000
3.79863465 -32.63690000
3.81592133 -32.63690000
3.83320802 -32.63680000
3.85049470 -32.63680000
3.85049470 -32.62920000
3.86778138 -32.62920000
3.88506806 -32.62920000
